ID,Group,Feature_1,Feature_2,Feature_3
ID001,A,2266.106248070864,390.98625588671285,4843.387464779027
ID002,B,2378.066421440072,386.3487335419504,4756.132842880144
ID003,B,2511.0318755036174,408.97460092351923,5022.063751007235
ID004,B,2154.975213830782,395.44803757240425,4309.950427661564
ID005,C,2137.061430903953,377.283416636429,-1759.7780142675238
ID006,A,2751.365014120888,358.753428716312,6460.327898781104
ID007,A,2214.4648652431324,428.97951804840244,4498.497005487385
ID008,A,2882.2239766903563,416.03517454141155,6566.496057364011
ID009,B,2571.966300096402,389.0270943195005,5143.932600192804
ID010,B,3131.8609447333765,399.0974604646393,6263.721889466753
ID011,A,2211.5328118227008,385.58869275220917,4706.654971707057
ID012,B,2683.42768816738,395.7805753351576,5366.85537633476
ID013,C,2709.3056080714387,429.5057929100866,-2279.799815161352
ID014,A,2704.7303000763322,410.9802456191347,6059.289672133324
ID015,B,1567.9309651440885,377.6108457083649,3135.861930288177
ID016,B,2258.2773152788486,363.7917381629472,4516.554630557697
ID017,B,1959.1042354210822,405.31687622877837,3918.2084708421644
ID018,B,2456.39020898502,377.45673696783354,4912.78041797004
ID019,C,2854.4732114644253,415.644825355558,-2438.828386108867
ID020,C,2618.356806116997,437.8801125500789,-2180.476693566918
ID021,C,2995.191124087784,377.22030496066935,-2617.9708191271147
ID022,C,2915.3457022731195,404.57922664277584,-2510.766475630344
ID023,B,2605.3076323902083,393.5916512390336,5210.6152647804165
ID024,A,1485.8837776320004,395.67029974461616,2479.29983417292
ID025,B,2710.46899548408,412.4589522781047,5420.93799096816
ID026,A,2663.45604130642,373.96695002845246,6120.533373776998
ID027,B,2648.827310472711,429.93939427488726,5297.654620945422
ID028,B,1924.7117195450494,391.5726243107385,3849.423439090099
ID029,C,2110.358732914032,412.89347664775784,-1697.465256266274
ID030,B,2412.8431742972716,389.2871815014852,4825.686348594543
ID031,C,2378.711932669685,396.0156614914013,-1982.696271178284
ID032,C,2455.0262221438225,376.60084205117107,-2078.4253800926513
ID033,C,2941.244391894095,405.47888046566015,-2535.765511428435
ID034,B,2596.184433856369,406.36669483995297,5192.368867712738
ID035,B,2408.265231397218,415.59360548815397,4816.530462794436
ID036,B,2451.0729821303953,415.69722586062136,4902.145964260791
ID037,C,2825.142042414097,386.2421015368195,-2438.8999408772775
ID038,B,2476.184785145925,397.75662106900825,4952.36957029185
ID039,A,2264.0407123512555,410.00434726052276,4742.100400751152
ID040,C,2890.5998589471083,395.82512946551276,-2494.7747294815954
ID041,A,2581.6996818582056,430.98248490239774,5590.186621062629
ID042,B,2623.962045691186,388.7086450266967,5247.924091382372
ID043,B,2691.405580347741,437.88810635972413,5382.811160695482
ID044,A,2416.9117181322317,395.00751684764236,5275.697570158483
ID045,A,1902.3841930972662,420.6717929708588,3603.7936144375044
ID046,A,2212.6253733165618,407.4634707356215,4600.558766271578
ID047,C,2682.754503698738,402.27603212519074,-2280.4784715735473
ID048,A,2419.6911706693613,408.7576988262777,5215.285017876696
ID049,B,2732.9846827429456,403.65246944651335,5465.969365485891
ID050,C,2711.6149700611168,374.2284149289323,-2337.3865551321846
ID051,C,2899.2018068721845,420.1987140830872,-2479.0030927890975
ID052,A,2739.943116907296,428.29044614711233,6078.377119986326
ID053,A,2490.9080651617096,418.3828774158574,5380.809808405842
ID054,B,2437.732932601142,400.4660625038196,4875.465865202284
ID055,A,3086.200762957342,388.82910120408457,7314.456782851603
ID056,C,2569.887684776667,422.17492101565387,-2147.712763761013
ID057,A,2523.2514650535704,379.5044071259863,5672.23235953078
ID058,B,2681.4158576073814,427.66302583211257,5362.831715214763
ID059,C,2082.277225413383,413.5955111605462,-1668.6817142528366
ID060,C,3096.8076564591556,376.4505779043694,-2720.3570785547863
ID061,C,2813.630229536236,429.43080273613157,-2384.1994268001044
ID062,C,2175.978828533545,405.5894204958464,-1770.3894080376986
ID063,C,2335.6307673422507,427.9464119986425,-1907.6843553436083
ID064,C,2487.9160949221796,409.8606500217355,-2078.055444900444
ID065,C,2651.4279509743287,423.41008261796867,-2228.01786835636
ID066,B,2973.0613219249235,384.4916021194246,5946.122643849847
ID067,C,2371.1109347269226,371.5693451577444,-1999.541589569178
ID068,A,2433.306839321403,407.42073166023306,5262.816859663043
ID069,B,2124.059185855254,402.219897000042,4248.118371710508
ID070,C,2875.6236800330125,400.4120456545996,-2475.211634378413
ID071,C,2344.201046498659,422.84113580101223,-1921.3599106976467
ID072,B,2896.8902995283493,390.183027224713,5793.7805990566985
ID073,C,2131.422471630545,423.26843732839797,-1708.1540343021468
ID074,C,2037.1031124036213,401.821667193769,-1635.2814452098523
ID075,C,2559.1838412956545,397.3618041054725,-2161.822037190182
ID076,A,2977.6763084119425,399.74112211838815,6934.323314643886
ID077,B,2405.349081779977,372.37235950093105,4810.698163559954
ID078,A,2882.8524913658903,410.07121246733686,6598.201411760985
ID079,A,2954.8691368226473,413.0651074523855,6799.281873206015
ID080,C,2347.7558570658675,418.10576073625083,-1929.6500963296166
ID081,C,2349.008775272128,397.3557408208702,-1951.6530344512576
ID082,B,2521.537964258435,387.00459723374223,5043.07592851687
ID083,A,2085.073808180193,405.131731217007,4229.562768455544
ID084,B,2271.766488612345,404.2403359165216,4543.53297722469
ID085,A,2160.0736542011496,394.0263167011311,4510.089379097793
ID086,A,2475.8839478411496,395.67686609874545,5449.267513029721
ID087,C,2263.5282549331473,406.3687998884926,-1857.1594550446548
ID088,C,2316.5085265976013,407.19998052803857,-1909.3085460695627
ID089,A,2718.3511776701325,401.28816313564744,6148.61271733216
ID090,C,2474.814624181686,377.03039313047884,-2097.7842310512074
ID091,A,2194.4833084250663,408.68739971287994,4540.0129267108
ID092,B,2397.2137691286443,382.8421499584881,4794.427538257289
ID093,C,2288.963499248987,374.15550672248986,-1914.807992526497
ID094,C,2533.676745205344,389.8902899248944,-2143.78645528045
ID095,A,2969.1030067095776,427.07359600240744,6771.941040116695
ID096,A,2971.1598079099285,403.6056799869305,6895.4510237951345
ID097,B,2083.6250324780285,397.6703373071191,4167.250064956057
ID098,C,2194.129065221044,430.0338455864282,-1764.095219634616
ID099,C,2571.7473819308957,389.0432395220702,-2182.7041424088256
ID100,A,2881.478703376005,385.89418954656975,6714.965162395167
ID101,A,2895.2067871131358,401.7683034020172,6676.77884432932
ID102,B,2152.094504839206,438.41976122701215,4304.189009678412
ID103,A,2813.5563689535015,390.9751993579382,6485.793110070814
ID104,A,2860.256440258376,440.7578158034134,6376.980241758062
ID105,A,2763.8444555149017,413.7714808291161,6222.675962399125
ID106,B,2629.230861279309,414.36530096694327,5258.461722558618
ID107,A,3274.292072136795,422.40147685962063,7710.868832112281
ID108,C,2825.5455057958056,432.39441595504405,-2393.1510898407614
ID109,B,2654.1839248591086,391.37054884121005,5308.367849718217
ID110,B,2885.8501207410545,399.9236016097566,5771.700241482109
ID111,C,2138.0413465433094,369.1609010740454,-1768.880445469264
ID112,C,2438.110409768993,391.9779566799943,-2046.1324530889988
ID113,C,3118.356677750665,389.508098637564,-2728.8485791131006
ID114,A,2538.0181966726345,391.7060382260029,5655.52439888789
ID115,C,2868.8714406089694,406.23702294293724,-2462.6344176660323
ID116,B,2662.8451142590434,379.02693228180686,5325.690228518087
ID117,B,2342.4152350491768,397.04213735799743,4684.8304700983535
ID118,C,2830.727296517914,401.0455985614617,-2429.6816979564524
